"","name","country","polyID","designation","point","iucn_cat","WDPAID","median","upper","lower"
"65","Akure-Ofosu","NGA",46,"Forest Reserve","polygon","Not Reported",36842,0.419,0.5,0.352
"66","Akure","NGA",39,"Forest Reserve","polygon","Not Reported",36834,0.402,0.495,0.349
"67","Akwana East","NGA",696,"Forest Reserve","polygon","Not Reported",36644,0.254,0.451,0.204
"68","Akwana West","NGA",697,"Forest Reserve","polygon","Not Reported",36645,0.255,0.447,0.199
"69","Akwari Ani","NGA",104,"Forest Reserve","polygon","Not Reported",36935,0.442,0.613,0.362
"70","Ala","NGA",45,"Forest Reserve","polygon","Not Reported",36841,0.412,0.533,0.357
"71","Alagbede","NGA",823,"Forest Reserve","polygon","Not Reported",36773,0.298,0.547,0.202
"72","Alata","MLI",30,"Hunting Area","polygon","VI",555556068,0.43,0.606,0.325
"73","Alawa","NGA",229,"Game Reserve","polygon","Not Reported",7864,0.364,0.573,0.18
"74","Alawa","NGA",611,"Forest Reserve","polygon","Not Reported",36556,0.373,0.58,0.181
"75","Albasu","NGA",325,"Forest Reserve","polygon","Not Reported",36253,0.319,0.478,0.224
"76","Alin Magani","NGA",545,"Forest Reserve","polygon","Not Reported",36484,0.281,0.408,0.142
"77","Alla","NGA",48,"Forest Reserve","polygon","Not Reported",36859,0.445,0.639,0.344
"78","Amakpave","TGO",3,"Forest Reserve","polygon","Not Reported",37122,0.447,0.592,0.301
"79","Amama Shelterbelt","GHA",51,"Forest Reserve","polygon","Not Reported",40747,0.468,0.643,0.35
"80","Ambakar","NGA",786,"Forest Reserve","polygon","Not Reported",36736,0.376,0.586,0.205
"81","Ambalalai","GHA",235,"Forest Reserve","polygon","Not Reported",303944,0.3,0.553,0.191
"82","Amere","NGA",713,"Forest Reserve","polygon","Not Reported",36661,0.271,0.466,0.199
"83","Amou-Mono","TGO",4,"Forest Reserve","polygon","Not Reported",37123,0.442,0.59,0.265
"84","Anambra","NGA",103,"Forest Reserve","polygon","Not Reported",36934,0.453,0.613,0.378
"85","Anambra","NGA",15,"Game Reserve","polygon","Not Reported",7845,0.453,0.613,0.378
"86","Ananguie","CIV",90,"Classified Forest","polygon","Not Reported",300915,0.557,0.726,0.389
"87","Anara","NGA",597,"Forest Reserve","polygon","Not Reported",36538,0.196,0.289,0.136
"88","Anchau West","NGA",467,"Forest Reserve","polygon","Not Reported",36401,0.195,0.31,0.136
"89","Anfani","NGA",673,"Forest Reserve","polygon","Not Reported",36620,0.406,0.638,0.184
"90","Angoben Shelterbelt","GHA",144,"Forest Reserve","polygon","Not Reported",40853,0.455,0.613,0.375
"91","Anguededou","CIV",16,"Classified Forest","polygon","Not Reported",29520,0.366,0.463,0.217
"92","Anhwiaso East","GHA",138,"Forest Reserve","polygon","Not Reported",40846,0.479,0.681,0.383
"93","Anhwiaso North","GHA",13,"Forest Reserve","polygon","Not Reported",26457,0.425,0.63,0.338
"94","Anie","TGO",32,"Forest Reserve","polygon","Not Reported",37124,0.363,0.569,0.259
"95","Anji","NGA",706,"Forest Reserve","polygon","Not Reported",36654,0.277,0.485,0.202
"96","Ankasa River","GHA",120,"Forest Reserve","polygon","Not Reported",40826,0.372,0.441,0.307
"97","Ankwai East","GHA",231,"Forest Reserve","polygon","Not Reported",303940,0.399,0.704,0.178
"98","Anlo-Keta lagoon complex","GHA",189,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",67970,NA,NA,NA
"99","Ansongo Menaka","MLI",27,"Integral Wildlife Reserve","polygon","IV",2327,0.496,0.72,0.323
"100","Anumso North","GHA",151,"Forest Reserve","polygon","Not Reported",40860,0.437,0.647,0.329
"101","Anumso South","GHA",152,"Forest Reserve","polygon","Not Reported",40861,0.437,0.647,0.329
"102","Anwo","NGA",66,"Forest Reserve","polygon","Not Reported",36886,0.428,0.637,0.289
"103","Aou-Mono","TGO",33,"Forest Reserve","polygon","Not Reported",37125,0.312,0.435,0.18
"104","Apamprama","GHA",22,"Forest Reserve","polygon","Not Reported",40673,0.492,0.691,0.39
"105","Aparabi Shelterbelt","GHA",52,"Forest Reserve","polygon","Not Reported",40748,0.436,0.623,0.339
"106","Apedua","GHA",164,"Forest Reserve","polygon","Not Reported",40877,0.447,0.63,0.36
"107","Apepesu River","GHA",243,"Forest Reserve","polygon","Not Reported",26505,0.366,0.568,0.275
"108","Apoi Creek Forests","NGA",2,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",903104,NA,NA,NA
"109","Apoi Creek","NGA",198,"Forest Reserve","polygon","Not Reported",37034,NA,NA,NA
"110","Ara","NGA",860,"Forest Reserve","polygon","Not Reported",36823,0.339,0.485,0.275
"111","Arakanga","NGA",28,"Forest Reserve","polygon","Not Reported",36816,0.438,0.604,0.312
"112","Arly","BFA",71,"Faunal Reserve","polygon","IV",4488,0.354,0.605,0.155
"113","Arly","BFA",72,"Partial Faunal Reserve","polygon","IV",9264,0.35,0.618,0.159
"114","Arrah","CIV",71,"Classified Forest","polygon","Not Reported",300881,0.499,0.67,0.367
"115","Asonari","GHA",17,"Forest Reserve","polygon","Not Reported",26572,0.437,0.647,0.329
"116","Asrama","TGO",5,"Forest Reserve","polygon","Not Reported",37126,0.423,0.58,0.302
"117","Assime-Adeta","TGO",6,"Forest Reserve","polygon","Not Reported",37128,0.369,0.556,0.265
"118","Assin-Attandanso","GHA",16,"Game Production Reserve","polygon","VI",26463,0.443,0.628,0.37
"119","Assin Apimanim","GHA",40,"Forest Reserve","polygon","Not Reported",40698,0.471,0.608,0.399
"120","Assin Attandaso","GHA",41,"Forest Reserve","polygon","Not Reported",40699,0.445,0.621,0.375
"121","Assob Bachit","NGA",722,"Forest Reserve","polygon","Not Reported",36670,0.297,0.455,0.202
"122","Assoukoko","TGO",34,"Forest Reserve","polygon","Not Reported",37129,0.313,0.485,0.211
"123","Asubima","GHA",70,"Forest Reserve","polygon","Not Reported",40770,0.434,0.618,0.332
"124","Asufu Shelterbelt East","GHA",71,"Forest Reserve","polygon","Not Reported",40771,0.45,0.633,0.328
"125","Asufu Shelterbelt West","GHA",72,"Forest Reserve","polygon","Not Reported",40772,0.436,0.619,0.33
"126","Asukese","GHA",53,"Forest Reserve","polygon","Not Reported",40749,0.468,0.643,0.35
"127","Asuokoko River","GHA",244,"Forest Reserve","polygon","Not Reported",26506,0.36,0.581,0.256
"128","Atakora","BEN",9,"Hunting Zone","polygon","VI",2254,0.292,0.46,0.133
"129","Atakpame","TGO",59,"Forest Reserve","polygon","Not Reported",37130,0.268,0.382,0.185
"130","Atcherigbe","BEN",27,"Classified Forest","polygon","Not Reported",5160,0.279,0.387,0.166
"131","Atewa Range","GHA",165,"Forest Reserve","polygon","Not Reported",40878,0.433,0.62,0.339
"132","Atilakoutse","TGO",7,"Forest Reserve","polygon","Not Reported",37131,0.369,0.556,0.265
"133","Auchi","NGA",53,"Forest Reserve","polygon","Not Reported",36865,0.421,0.586,0.323
"134","Audoin","CIV",118,"Classified Forest","polygon","Not Reported",300960,0.366,0.463,0.217
"135","Auno","NGA",503,"Forest Reserve","polygon","Not Reported",36442,0.336,0.578,0.179
"136","Auro River","GHA",94,"Forest Reserve","polygon","Not Reported",40794,0.439,0.641,0.351
"137","Auya","NGA",496,"Forest Reserve","polygon","Not Reported",36435,0.283,0.41,0.158
"138","Aviele","NGA",99,"Forest Reserve","polygon","Not Reported",36929,0.442,0.575,0.36
"139","Awlaw-Isikwe","NGA",137,"Forest Reserve","polygon","Not Reported",36969,0.483,0.609,0.418
"140","Aworo","NGA",202,"Forest Reserve","polygon","Not Reported",37039,0.451,0.591,0.305
"141","Awura","GHA",73,"Forest Reserve","polygon","Not Reported",40773,0.446,0.632,0.332
"142","Ayu Hills","NGA",726,"Forest Reserve","polygon","Not Reported",36674,0.297,0.455,0.202
"143","Azagny","CIV",232,"National Park","polygon","II",7522,0.494,0.64,0.367
"144","Azarunikwia","NGA",335,"Forest Reserve","polygon","Not Reported",36263,0.39,0.614,0.24
"145","Azaya","NGA",311,"Forest Reserve","polygon","Not Reported",36239,0.404,0.687,0.199
"146","Babban Rafi","NGA",254,"Forest Reserve","polygon","Not Reported",36181,0.355,0.5,0.255
"147","Babbankurmi","NGA",804,"Forest Reserve","polygon","Not Reported",36754,0.358,0.598,0.218
"148","Bableu","CIV",204,"Classified Forest","polygon","Not Reported",300821,0.462,0.614,0.314
"149","Babolo","BFA",36,"Classified Forest","polygon","Not Reported",28559,0.376,0.61,0.213
"150","Badauri","NGA",273,"Forest Reserve","polygon","Not Reported",36201,0.336,0.493,0.246
"151","Badiar-sud","GIN",52,"Classified Forest","polygon","Not Reported",29409,0.586,0.839,0.354
"152","Badiar","GIN",4,"National Park","polygon","II",29069,0.583,0.839,0.354
"153","Badikaha","CIV",130,"Classified Forest","polygon","Not Reported",29549,0.336,0.556,0.206
"154","Badinko","MLI",31,"Faunal Reserve","polygon","IV",2322,0.495,0.882,0.268
"155","Badonou","CIV",137,"Classified Forest","polygon","Not Reported",29605,0.3,0.505,0.179
"156","Bafing","MLI",12,"Chimpanzee Sanctuary","polygon","IV",317194,0.468,0.845,0.244
"157","Baga","NGA",296,"Forest Reserve","polygon","Not Reported",36224,0.45,0.726,0.249
"158","Bagaji","NGA",875,"Forest Reserve","polygon","Not Reported",36869,0.385,0.613,0.286
"159","Bagata","GIN",97,"Classified Forest","polygon","Not Reported",33510,0.281,0.368,0.217
"160","Bagau","NGA",497,"Forest Reserve","polygon","Not Reported",36436,0.237,0.387,0.169
"161","Bage","NGA",559,"Forest Reserve","polygon","Not Reported",36498,0.273,0.379,0.143
"162","Bagele Hill","NGA",756,"Forest Reserve","polygon","Not Reported",36704,0.346,0.695,0.151
"163","Bagga","NGA",419,"Forest Reserve","polygon","Not Reported",36347,0.43,0.683,0.231
"164","Bahr Salamat","TCD",3,"Faunal reserve","polygon","IV",5164,0.34,0.615,0.19
"165","Baissa","NGA",74,"Forest Reserve","polygon","Not Reported",36899,0.273,0.365,0.235
"166","Bajiye","NGA",699,"Forest Reserve","polygon","Not Reported",36647,0.274,0.45,0.186
"167","Bakanbawa","NGA",393,"Forest Reserve","polygon","Not Reported",36321,0.319,0.478,0.224
"168","Bakin Dutse","NGA",761,"Forest Reserve","polygon","Not Reported",36711,0.387,0.676,0.174
"169","Bakoun","GIN",68,"Classified Forest","polygon","Not Reported",29435,0.251,0.392,0.194
"170","Baku","GHA",42,"Forest Reserve","polygon","Not Reported",40700,0.471,0.608,0.399
"171","Bakura Tureta","NGA",414,"Forest Reserve","polygon","Not Reported",36342,0.42,0.619,0.228
"172","Balam","TGO",57,"Forest Reserve","polygon","Not Reported",300807,0.312,0.452,0.182
"173","Balayan-Souroumba","GIN",64,"Classified Forest","polygon","Not Reported",29425,0.316,0.519,0.203
"174","Bam Ngelzarma","NGA",488,"Forest Reserve","polygon","Not Reported",36427,0.291,0.401,0.159
"175","Bambaya","GIN",78,"Classified Forest","polygon","Not Reported",29453,0.341,0.479,0.241
"176","Bambou","BFA",44,"Classified Forest","polygon","Not Reported",28568,0.382,0.632,0.187
"177","Banco","CIV",229,"National Park","polygon","II",725,0.366,0.463,0.217
"178","Bandai Hills","GHA",153,"Forest Reserve","polygon","Not Reported",40862,0.428,0.644,0.322
"179","Bandama-Blanc","CIV",138,"Classified Forest","polygon","Not Reported",29615,0.421,0.655,0.332
"180","Bandama Rouge","CIV",184,"Classified Forest","polygon","Not Reported",300794,0.404,0.621,0.26
"181","Bani","GIN",59,"Classified Forest","polygon","Not Reported",29417,0.274,0.381,0.224
"182","Banie","GIN",1,"Classified Forest","polygon","Not Reported",29380,0.626,0.721,0.465
"183","Banifing Baoule","MLI",19,"Partial Wildlife Reserve","polygon","IV",555556061,0.389,0.799,0.21
"184","Bansie","BFA",45,"Classified Forest","polygon","Not Reported",28569,0.358,0.614,0.168
"185","Bantaji","NGA",780,"Forest Reserve","polygon","Not Reported",36730,0.406,0.644,0.223
"186","Bantarawel","GIN",22,"Classified Forest","polygon","Not Reported",29367,0.334,0.489,0.219
"187","Banzana","MLI",11,"Hunting Area","polygon","VI",555556058,0.359,0.511,0.193
"188","Baobolon Wetland Reserve","GMB",1,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",145529,0.588,0.836,0.37
"189","Baoule","MLI",32,"National Park","polygon","II",2328,0.504,0.866,0.269
"190","Baoule","TGO",60,"Forest Reserve","polygon","Not Reported",37132,0.403,0.574,0.264
"191","Baporo","BFA",29,"Classified Forest","polygon","Not Reported",28551,0.376,0.663,0.168
"192","Bara","NGA",536,"Forest Reserve","polygon","Not Reported",36475,0.321,0.535,0.141
"193","Barawa","NGA",360,"Forest Reserve","polygon","Not Reported",36288,0.313,0.488,0.24
"194","Barburam","NGA",337,"Forest Reserve","polygon","Not Reported",36265,0.39,0.614,0.24
"195","Barkedji Dodji","SEN",27,"Not Reported","polygon","Not Reported",352617,0.58,0.769,0.308
"196","Barkoissi","TGO",35,"Forest Reserve","polygon","Not Reported",37133,0.341,0.583,0.18
"197","Baro","GIN",74,"Classified Forest","polygon","Not Reported",29446,0.418,0.556,0.303
"198","Barrage","BFA",16,"Classified Forest","polygon","Not Reported",28534,0.34,0.615,0.175
"199","Bas-Ogou","TGO",36,"Forest Reserve","polygon","Not Reported",37134,0.303,0.483,0.2
"200","Bashari","NGA",519,"Forest Reserve","polygon","Not Reported",36458,0.389,0.646,0.177
"201","Bassari-Montagne","TGO",37,"Forest Reserve","polygon","Not Reported",37136,0.344,0.589,0.22
"202","Basse-Casamance","SEN",4,"National Park","polygon","II",868,NA,NA,NA
"203","Baturiya Wetland","NGA",3,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",903105,0.353,0.59,0.208
"204","Baturiya Wetlands","NGA",231,"Game Reserve","polygon","IV",7872,0.354,0.586,0.208
"205","Bauni","NGA",243,"Forest Reserve","polygon","Not Reported",36170,0.446,0.694,0.296
"206","Bayawa","NGA",480,"Forest Reserve","polygon","Not Reported",36418,0.358,0.579,0.196
"207","Bayeme","TGO",23,"Forest Reserve","polygon","Not Reported",300905,0.448,0.594,0.348
"208","Bayota","CIV",77,"Classified Forest","polygon","Not Reported",300892,0.506,0.693,0.352
"209","Bazairam","NGA",274,"Forest Reserve","polygon","Not Reported",36202,0.39,0.614,0.24
"210","Bbaobolon","GMB",7,"Wetland Reserve","polygon","Not Reported",31330,0.588,0.836,0.37
"211","Bdoule","CIV",168,"Classified Forest","polygon","Not Reported",300776,0.315,0.486,0.18
"212","Beauvois","GIN",27,"Classified Forest","polygon","Not Reported",29375,0.281,0.368,0.217
"213","Bediako","GHA",95,"Forest Reserve","polygon","Not Reported",40795,0.439,0.641,0.351
"214","Beh'Ho","TGO",38,"Forest Reserve","polygon","Not Reported",37137,0.324,0.55,0.203
"215","Beji","NGA",658,"Forest Reserve","polygon","Not Reported",36604,0.416,0.64,0.18
"216","Beki Bosse Matie","CIV",6,"Classified Forest","polygon","Not Reported",29500,0.483,0.671,0.379
"217","Belare","NGA",408,"Forest Reserve","polygon","Not Reported",36336,0.423,0.666,0.224
"218","Bellefoungou","BEN",20,"Classified Forest","polygon","Not Reported",32995,0.273,0.435,0.175
"219","Bellel","GIN",26,"Classified Forest","polygon","Not Reported",29373,0.32,0.455,0.239
"220","Bem-Bem","SEN",37,"Not Reported","polygon","Not Reported",352627,0.594,0.798,0.299
"221","Bemu","GHA",96,"Forest Reserve","polygon","Not Reported",40796,0.476,0.644,0.365
"222","Ben East","GHA",139,"Forest Reserve","polygon","Not Reported",40848,0.444,0.636,0.366
"223","Ben West","GHA",140,"Forest Reserve","polygon","Not Reported",40849,0.378,0.462,0.316
"224","Bena","TGO",61,"Forest Reserve","polygon","Not Reported",300836,0.366,0.568,0.275
"225","Benisheikh","NGA",501,"Forest Reserve","polygon","Not Reported",36440,0.305,0.461,0.162
"226","Bere","CIV",196,"Classified Forest","polygon","Not Reported",300813,0.434,0.669,0.337
"227","Beregadougou","BFA",37,"Classified Forest","polygon","Not Reported",28560,0.396,0.633,0.209
"228","Besso","CIV",13,"Classified Forest","polygon","Not Reported",29514,0.507,0.693,0.392
"229","Bia Tano Blk 1","GHA",169,"Forest Reserve","polygon","Not Reported",303952,0.482,0.683,0.375
"230","Bia Tano","GHA",54,"Forest Reserve","polygon","Not Reported",40752,0.469,0.667,0.351
"231","Bia Tawya","GHA",108,"Forest Reserve","polygon","Not Reported",40811,0.477,0.683,0.377
"232","Bia Trans","GHA",176,"Forest Reserve","polygon","Not Reported",303960,0.483,0.684,0.376
"233","Bia Tributaries North","GHA",109,"Forest Reserve","polygon","Not Reported",40812,0.484,0.681,0.374
"234","Bia","GHA",2,"National Park","polygon","II",672,0.479,0.693,0.374
"235","Bia","GHA",4,"Resource Reserve","polygon","VI",5150,0.479,0.693,0.374
"236","Bida Bornu State","NGA",305,"Forest Reserve","polygon","Not Reported",36233,0.426,0.711,0.234
"237","Bida Niger State","NGA",652,"Forest Reserve","polygon","Not Reported",36598,0.343,0.622,0.235
"238","Biliri Hills","NGA",744,"Forest Reserve","polygon","Not Reported",36692,0.264,0.484,0.141
"239","Bilisu","GHA",238,"Forest Reserve","polygon","Not Reported",303948,0.376,0.637,0.213
"240","Bimpong","GHA",43,"Forest Reserve","polygon","Not Reported",40730,0.45,0.599,0.386
"241","Binder-Lere","TCD",13,"Faunal Reserve","polygon","IV",5168,0.392,0.788,0.154
"242","Binti","GIN",40,"Classified Forest","polygon","Not Reported",29394,0.313,0.468,0.189
"243","Birim Extension","GHA",98,"Forest Reserve","polygon","Not Reported",40798,0.478,0.648,0.364
"244","Birim","GHA",97,"Forest Reserve","polygon","Not Reported",40797,0.478,0.648,0.364
"245","Birnin Gwari","NGA",442,"Forest Reserve","polygon","Not Reported",36374,0.21,0.398,0.154
"246","Birniwa Railway","NGA",341,"Forest Reserve","polygon","Not Reported",36269,0.356,0.588,0.211
"247","Birniwa","NGA",529,"Forest Reserve","polygon","Not Reported",36468,0.224,0.338,0.16
"248","Bissaula","NGA",75,"Forest Reserve","polygon","Not Reported",36900,0.282,0.339,0.239
"249","Bissiga","BFA",18,"Classified Forest","polygon","Not Reported",28536,0.376,0.678,0.18
"250","Boa","CIV",186,"Classified Forest","polygon","Not Reported",300797,0.401,0.574,0.258
"251","Boabeng-Fiema","GHA",200,"Wildlife Sanctuary","polygon","IV",26462,0.402,0.62,0.293
"252","Bobiri","GHA",154,"Forest Reserve","polygon","Not Reported",40863,0.466,0.655,0.341
"253","Bodi","GHA",110,"Forest Reserve","polygon","Not Reported",40814,0.419,0.555,0.353
"254","Bodio Doubele","CIV",19,"Classified Forest","polygon","Not Reported",29535,0.539,0.728,0.388
"255","Bodor Hill","NGA",557,"Forest Reserve","polygon","Not Reported",36496,0.273,0.379,0.143
"256","Boe","GNB",19,"National Park","polygon","Not Reported",342670,0.529,0.774,0.309
"257","Boe","GNB",3,"Hunting Reserve","polygon","Not Reported",11609,0.529,0.774,0.309
"258","Boin River","GHA",128,"Forest Reserve","polygon","Not Reported",40835,0.393,0.473,0.321
"259","Boin Tano","GHA",127,"Forest Reserve","polygon","Not Reported",40834,0.372,0.441,0.307
"260","Bojeni Hills","SLE",19,"Forest Reserve","polygon","Not Reported",29983,0.445,0.542,0.364
"261","Bokori","NGA",431,"Forest Reserve","polygon","Not Reported",36361,0.206,0.284,0.168
"262","Boli","CIV",59,"Classified Forest","polygon","Not Reported",300861,0.487,0.704,0.322
"263","Bolo","CIV",26,"Classified Forest","polygon","Not Reported",29585,NA,NA,NA
"264","Bombi","GHA",193,"Forest Reserve","polygon","Not Reported",26441,0.349,0.602,0.238
"265","Bomfobiri","GHA",6,"Wildlife Sanctuary","polygon","IV",5155,0.436,0.647,0.328
"266","Bomfoum","GHA",155,"Forest Reserve","polygon","Not Reported",40864,0.437,0.647,0.329
"267","Bong Mountain","LBR",5,"National Park","polygon","Not Reported",555512167,0.419,0.558,0.323
"268","Bongouanou","CIV",74,"Classified Forest","polygon","Not Reported",300887,0.516,0.682,0.347
"269","Bonkoni","GHA",55,"Forest Reserve","polygon","Not Reported",40753,0.477,0.683,0.366
"270","Bonsa Ben","GHA",141,"Forest Reserve","polygon","Not Reported",40850,0.399,0.504,0.33
"271","Bonsa River","GHA",121,"Forest Reserve","polygon","Not Reported",40827,0.378,0.462,0.316
"272","Bonsam Bepo","GHA",56,"Forest Reserve","polygon","Not Reported",40754,0.478,0.682,0.368
"273","Bontioli","BFA",3,"Faunal Reserve","polygon","IV",4489,0.315,0.481,0.149
"274","Bonu","NGA",674,"Forest Reserve","polygon","Not Reported",36621,0.405,0.613,0.2
"275","Bopong","GHA",232,"Forest Reserve","polygon","Not Reported",303941,0.362,0.585,0.173
"276","Borgu","NGA",628,"Forest Reserve","polygon","Not Reported",36573,0.292,0.507,0.183
"277","Borotou","CIV",146,"Classified Forest","polygon","Not Reported",29644,0.401,0.573,0.258
"278","Bosomkese","GHA",57,"Forest Reserve","polygon","Not Reported",40755,0.459,0.643,0.343
"279","Bosomoa","GHA",224,"Forest Reserve","polygon","Not Reported",40871,0.379,0.62,0.297
"280","Bosso Dam","NGA",660,"Forest Reserve","polygon","Not Reported",36606,0.416,0.64,0.18
"281","Bosumtwi Range","GHA",23,"Forest Reserve","polygon","Not Reported",40674,0.435,0.628,0.365
"282","Botokoly","GIN",10,"Classified Forest","polygon","Not Reported",29339,0.325,0.464,0.241
